"TaxonUsageID","LETTERCODE","SHORTNAME","TaxonName","NATIVENAME","AuthorName","SYNONYM","TaxonConceptID"
52591,"CYPEL.R","Cyperus longibracteatu","Cyperus longibracteatus var. rubrotinctus",NA,"(Cherm.) KÅk.",TRUE,196
52592,"MARIRUB","Mariscus rubrotinctus","Mariscus rubrotinctus",NA,"Cherm.",TRUE,196
52593,"MARIBOJ","Mariscus bojeri","Mariscus bojeri",NA,"C.B. Clarke",TRUE,196
52594,"MARIKEN","Mariscus keniensis","Mariscus keniensis",NA,"(KÅk.) S.S. Hooper",TRUE,196
52595,"CYPEKEN","Cyperus keniensis","Cyperus keniensis",NA,"KÅk.",TRUE,196
52596,"MARIL.K","Mariscus longibracteat","Mariscus longibracteatus var. keniensis",NA,"(KÅk.) Maquet",TRUE,196
52597,"CYPEL.N","Cyperus longibracteatu","Cyperus longibracteatus var. niger",NA,"(C.B. Clarke) Lye",TRUE,196
52598,"CYPED.N","Cyperus distans var. n","Cyperus distans var. niger",NA,"C.B. Clarke",TRUE,196
52599,"CYPEF.D","Cyperus ferrugineoviri","Cyperus ferrugineoviridis var. distantiformis",NA,"KÅk.",TRUE,196
52600,"CYPEE.D","Cyperus exaltatus var.","Cyperus exaltatus var. dives",NA,"(Delile) C.B. Clarke",TRUE,197
52601,"CYPEA.D","Cyperus alopecuroides","Cyperus alopecuroides var. dives",NA,"Boeckeler",TRUE,197
52602,"CYPEI.P","Cyperus immensus var.","Cyperus immensus var. petherickii",NA,"(C.B. Clarke) KÅk.",TRUE,197
52603,"CYPEPET","Cyperus petherickii","Cyperus petherickii",NA,"C.B. Clarke",TRUE,197
52604,"CYPEI.T","Cyperus immensus var.","Cyperus immensus var. taylorii",NA,"C.B. Clarke",TRUE,200
52605,"CYPEL.A","Cyperus latifolius var","Cyperus latifolius var. angustifolius",NA,"Hochst.",TRUE,204
52606,"CYPEL.A","Cyperus latifolius var","Cyperus latifolius var. austro-africanus",NA,"KÅk.",TRUE,204
52607,"CYPELAB","Cyperus labiatus","Cyperus labiatus",NA,"Peter",TRUE,204
52608,"CYPESOL","Cyperus solidifolius","Cyperus solidifolius",NA,"Boeckeler",TRUE,204
52609,"CYPEHER","Cyperus herana","Cyperus herana",NA,"Cherm.",TRUE,204
52610,"CYPEL.H","Cyperus latifolius var","Cyperus latifolius var. herana",NA,"(Cherm.) Cherm.",TRUE,204
52611,"CYPEL.S","Cyperus latifolius var","Cyperus latifolius var. solidifolius",NA,"(Boeckeler) Cherm.",TRUE,204
52612,"CYPEP.A","Cyperus papyrus subsp.","Cyperus papyrus subsp. antiquorum",NA,"(Willd.) Chiov.",TRUE,206
52613,"CYPEP.N","Cyperus papyrus subsp.","Cyperus papyrus subsp. nyassicus",NA,"Chiov.",TRUE,206
53096,"CHLOART","Chlorocyperus articula","Chlorocyperus articulatus",NA,"Rikli",TRUE,50073
53177,"CYPEADO","Cyperus adoensis","Cyperus adoensis",NA,"Hochst. ex A. Rich.",TRUE,50816
53178,"CYPEATR","Cyperus atrosanguineus","Cyperus atrosanguineus",NA,"Hochst. ex Steud.",TRUE,50816
53179,"CYPEL.A","Cyperus longus var. ad","Cyperus longus var. adoensis",NA,"Boeckeler",TRUE,50816
53180,"CYPERHI","Cyperus rhigiophyllus","Cyperus rhigiophyllus",NA,"Hochst.",TRUE,50816
53181,"CYPESPH","Cyperus sphaerospermoi","Cyperus sphaerospermoides",NA,"Cherm.",TRUE,50835
53182,"CYPEH.S","Cyperus haspan var. sp","Cyperus haspan var. sphaerospermoides",NA,"(Cherm.) Cherm.",TRUE,50835
53183,"CYPEH.T","Cyperus haspan var. tr","Cyperus haspan var. transiens",NA,"(Cherm.) Cherm.",TRUE,50835
53184,"CYPES.T","Cyperus sphaerospermoi","Cyperus sphaerospermoides var. transiens",NA,"Cherm.",TRUE,50835
53185,"CYPED.S","Cyperus denudatus f. s","Cyperus denudatus f. subdelicatulus",NA,"KÅk.",TRUE,50835
53186,"CYPED.D","Cyperus denudatus var.","Cyperus denudatus var. delicatulus",NA,"C.B. Clarke",TRUE,50835
53187,"CYPEPHA","Cyperus phaeorrhizus","Cyperus phaeorrhizus",NA,"K. Schum.",TRUE,50835
53188,"CYPEP.P","Cyperus phaeorrhizus v","Cyperus phaeorrhizus var. pallidus",NA,"Gilli",TRUE,50835
53189,"CYPEP.P","Cyperus phaeorrhizus v","Cyperus phaeorrhizus var. princeae",NA,"(C.B. Clarke) KÅk.",TRUE,50835
53190,"CYPEPRI","Cyperus princeae","Cyperus princeae",NA,"C.B. Clarke",TRUE,50835
53191,"CYPEVER","Cyperus verrucinux","Cyperus verrucinux",NA,"C.B. Clarke",TRUE,50835
53192,"CYPEHAS","Cyperus haspanoides","Cyperus haspanoides",NA,"C.B. Clarke",TRUE,50835
