"TaxonConceptID";"lf_behn_2018"
52155;"chamaephyte"
52193;"chamaephyte"
52197;"facultative_annual"
52199;"obligate_annual"
52247;"obligate_annual"
52249;"obligate_annual"
52250;"climbing_plant"
52259;"chamaephyte"
52262;"climbing_plant"
52286;"phanerophyte"
52309;"climbing_plant"
52322;"phanerophyte"
52331;"acropleustophyte"
52354;"reed_plant"
52357;"obligate_annual"
52378;"obligate_annual"
52385;"obligate_annual"
52401;"phanerophyte"
52431;"obligate_annual"
53366;"obligate_annual"
53398;"tussock_plant"
53411;"climbing_plant"
53414;"obligate_annual"
53427;"facultative_annual"
53443;"facultative_annual"
53454;"reptant_plant"
53497;"tussock_plant"
53517;"chamaephyte"
53522;"chamaephyte"
53549;"tussock_plant"
