TaxonConceptID;AcceptedName;Basionym;Parent;Level;ViewID
1;1;;54753;species;1
2;2;;54754;species;1
3;3;;54754;species;1
4;4;;54755;species;1
5;5;;54755;species;1
6;6;;54755;species;1
7;7;;54755;species;1
8;8;;54755;species;1
9;9;;54755;species;1
10;10;;54755;species;1
11;11;;54755;species;1
12;12;;54755;species;1
13;13;;54755;species;1
14;14;;54756;species;1
15;15;;54757;species;1
16;16;;54757;species;1
17;17;;54758;species;1
18;18;;54759;species;1
19;19;;54759;species;1
20;20;;54760;species;1
21;21;;54760;species;1
22;22;;54761;species;1
23;23;;55700;species;1
24;24;;54762;species;1
25;25;;54763;species;1
26;26;;54764;species;1
27;27;;54765;species;1
28;28;;54766;species;1
29;29;;54767;species;1
30;30;;54768;species;1
31;31;;54768;species;1
32;32;;54769;species;1
33;33;;54770;species;1
34;34;;54770;species;1
35;35;;54771;species;1
36;36;;54771;species;1
37;37;;54771;species;1
38;38;;37;subspecies;1
39;39;;54771;species;1
40;40;;54771;species;1
41;41;;54772;species;1
42;42;;54773;species;1
43;43;;54773;species;1
44;44;;54774;species;1
45;45;;54775;species;1
46;46;;54776;species;1
47;47;;54776;species;1
48;48;;54777;species;1
49;49;;54778;species;1
50;50;;54779;species;1
51;51;;54779;species;1
52;52;;54779;species;1
53;53;;54779;species;1
54;54;;54780;species;1
55;55;;54781;species;1
56;56;;54781;species;1
57;57;;54782;species;1
58;58;;54783;species;1
59;59;;54784;species;1
60;60;;54784;species;1
61;61;;54785;species;1
62;62;;54786;species;1
63;63;;54787;species;1
64;64;;55701;species;1
65;65;;54788;species;1
66;66;;54788;species;1
67;67;;54789;species;1
68;68;;54790;species;1
69;69;;54791;species;1
70;70;;54792;species;1
71;71;;54793;species;1
72;72;;54793;species;1
73;73;;54793;species;1
74;74;;54793;species;1
75;75;;54794;species;1
76;76;;54794;species;1
77;77;;54795;species;1
78;78;;54796;species;1
79;79;;54796;species;1
80;80;;54796;species;1
81;81;;54796;species;1
82;82;;54796;species;1
83;83;;54797;species;1
84;84;;54797;species;1
85;85;;54798;species;1
86;86;;54799;species;1
87;87;;54800;species;1
88;88;;54801;species;1
89;89;;54802;species;1
90;90;;54803;species;1
91;91;;54804;species;1
92;92;;54805;species;1
93;93;;54806;species;1
94;94;;54807;species;1
95;95;;54808;species;1
96;96;;54809;species;1
97;97;;54810;species;1
98;98;;54811;species;1
99;99;;54811;species;1
100;100;;54811;species;1
101;101;;54811;species;1
102;102;;54811;species;1
103;103;;54811;species;1
104;104;;54812;species;1
105;105;;55702;species;1
106;106;;54813;species;1
107;107;;54814;species;1
108;108;;54815;species;1
109;109;;54815;species;1
110;110;;54816;species;1
111;111;;55703;species;1
112;112;;54817;species;1
113;113;;54818;species;1
114;114;;54819;species;1
115;115;;54819;species;1
116;116;;54819;species;1
117;117;;54819;species;1
118;118;;54820;species;1
119;119;;54820;species;1
120;120;;54820;species;1
121;121;;54820;species;1
122;122;;54820;species;1
123;123;;54821;species;1
124;124;;54822;species;1
125;125;;54823;species;1
126;126;;54823;species;1
127;127;;54824;species;1
128;128;;54825;species;1
129;129;;54826;species;1
130;130;;54827;species;1
131;131;;54828;species;1
132;132;;54828;species;1
133;133;;54828;species;1
134;134;;54828;species;1
135;135;;54828;species;1
136;136;;54828;species;1
137;137;;54829;species;1
138;138;;54830;species;1
139;139;;54831;species;1
140;140;;54832;species;1
141;141;;54833;species;1
142;142;;54834;species;1
143;143;;54835;species;1
144;144;;54835;species;1
145;145;;54835;species;1
146;146;;54835;species;1
147;147;;54835;species;1
148;148;;54835;species;1
149;149;;54835;species;1
150;150;;54836;species;1
151;151;;54836;species;1
152;152;;54836;species;1
153;153;;54837;species;1
154;154;;54837;species;1
155;155;;54838;species;1
156;156;;54838;species;1
157;157;;54838;species;1
159;159;;54839;species;1
160;160;;54840;species;1
161;161;;54841;species;1
162;162;;54841;species;1
163;163;;55704;species;1
164;164;;55704;species;1
165;165;;54842;species;1
166;166;;54842;species;1
167;167;;54842;species;1
168;168;;54843;species;1
169;169;;54843;species;1
170;170;;54844;species;1
171;171;;54845;species;1
172;172;;54845;species;1
173;173;;54845;species;1
174;174;;54845;species;1
175;175;;54845;species;1
176;176;;54845;species;1
177;177;;54845;species;1
178;178;;54846;species;1
179;179;;54846;species;1
180;180;;54847;species;1
181;181;;54847;species;1
182;182;;54847;species;1
183;183;;54848;species;1
184;184;;54849;species;1
185;185;;54850;species;1
186;186;;54850;species;1
187;187;;54851;species;1
188;188;;55705;species;1
189;189;;55705;species;1
190;190;;54852;species;1
191;191;;54852;species;1
192;192;;54853;species;1
193;193;;54853;species;1
194;194;;54853;species;1
195;195;;54853;species;1
196;196;;54853;species;1
197;197;;54853;species;1
198;198;;54853;species;1
199;199;;54853;species;1
200;200;;54853;species;1
201;201;;54853;species;1
202;202;;54853;species;1
203;203;;54853;species;1
204;204;;54853;species;1
205;205;;53549;subspecies;1
206;206;;54853;species;1
207;207;;54853;species;1
208;208;;54853;species;1
209;209;;54853;species;1
210;210;;54853;species;1
211;211;;54853;species;1
212;212;;54853;species;1
213;213;;54854;species;1
214;214;;54855;species;1
215;215;;54855;species;1
216;216;;54856;species;1
217;217;;54857;species;1
218;218;;54858;species;1
219;219;;54859;species;1
220;220;;54860;species;1
221;221;;54861;species;1
222;222;;54862;species;1
223;223;;54862;species;1
224;224;;54862;species;1
